Order_Date,Priority,Quantity,Sales,Discount,Profit,Unit_Price,Shipping_Cost,Transportation,Customer_Name,Country,Region,State,City,Store_Name,Customer_Segment,Product_Category,Product_Sub_Category,Product_Container,Product_ID,Order_ID,Supplier,Expected_Date,Ship_Date
07/06/13,Urgent,16,196.47,0.08,-22.594,5.89,5.57,Regular Air,Abhay Parmar ,India,East,Bihar,Bakhtiyarpur,Coleman,Corporate,Furniture,Office Furnishings,Small Box,P428,47873,Argot,19/06/13,14/06/13
07/06/13,Urgent,16,65.49,0.08,-26.07,5.89,5.57,Regular Air,Ravi Swamy ,India,South,Karnataka,Shrirangapattana,Coleman,Corporate,Furniture,Office Furnishings,Small Box,P428,47873,Argot,15/06/13,15/06/13
07/06/13,Urgent,24,305.22,0.04,-30.4,18.97,9.54,Regular Air,Kaman Srinivasa Rao ,India,West,Maharashtra,Nashik,Morris,Small Business,Office Supplies,Paper,Small Box,P1186,55554,Elan,19/06/13,11/07/13
07/06/13,Urgent,6,457.83,0.04,-28.88,18.97,9.54,Regular Air,Alok Thakur ,India,South,Tamil Nadu,Pallikondai,Morris,Small Business,Office Supplies,Paper,Small Box,P1186,55554,Elan,12/06/13,19/06/13
08/06/13,Urgent,38,24932.19,0.08,-667.176,370.98,99,Delivery Truck,Thiruma Basu ,India,South,Andhra Pradesh,Narasannapeta,Wright,Consumer,Office Supplies,Storage & Organization,Jumbo Drum,P944,45376,Ningbo,20/06/13,13/07/13
08/06/13,Low,20,94.48,0,-73.542,6.48,8.19,Regular Air,V Bhandari ,India,North East,Assam,Guwahati,Lane,Consumer,Office Supplies,Paper,Small Box,P1248,29187,Merxin,16/06/13,13/07/13
08/06/13,Low,30,188.96,0,-51.912,6.48,8.19,Regular Air,K Hari Prasad Reddy ,India,North,Chhattisgarh,Kota,Lane,Consumer,Office Supplies,Paper,Small Box,P1248,29187,Merxin,20/06/13,05/08/13
08/06/13,Low,52,316.7,0.05,12.6,9.77,6.02,Regular Air,T Brown ,India,South,Karnataka,Yelahanka,Jenkins,Consumer,Furniture,Office Furnishings,Medium Box,P365,45671,Elan,16/06/13,24/07/13
08/06/13,Low,36,58.89,0,-133.588,2.18,7.09,Regular Air,M Prakash ,India,South,Karnataka,Robertsonpet,Powell,Home Office,Office Supplies,Paper,Wrap Bag,P155,58755,Elan,15/06/13,11/06/13
08/06/13,Urgent,76,16621.46,0.08,-611.578,370.98,99,Delivery Truck,Narender R K ,India,West,Maharashtra,Ahmadnagar,Wright,Consumer,Office Supplies,Storage & Organization,Jumbo Drum,P944,45376,Ningbo,16/06/13,19/06/13
08/06/13,Urgent,16,969.68,0.02,-301.546,89.99,42,Delivery Truck,Siddhit Kudalkar ,India,North,Punjab,Jalandhar,Allen,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,P565,4871,Argot,14/06/13,31/07/13
